Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Bio fuel energy.PCal per Mt of fuel[1]",4,3,5,,,,,,1,,,,,,
"Bio fuel energy.stepping on toes parameter[1]",0.465906558512743,0.1,0.5,1,,,,,,1,,,,,
"Bio fuel energy.time to perceive changes in construction[1]",1,0.25,5,1,,,,,,,,,,,
"Hydropower energy.Base Hydropower Installation Costs[1]",100.781099617102,10,5000,,,,,,,1,,,,,
"Hydropower energy.baseline hydropower energy capacity efficiency[1]",3.845734268,2,5,,,,,,,1,,,,,
"Hydropower energy.depreciation rate of hydropower capital[1]",0.01,0,0.1,1,,,,,,,,,,,
"Hydropower energy.Initial Hydropower Capacity[1]",478.7768037,250,550,,,,,,,1,,,,,
"Hydropower energy.Slope of Hydropower Installation Costs wrt Capacity[1]",0.00000169650622912592,1e-7,0.0001,,,,,,,1,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 1]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 2]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 3]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 4]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 5]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 6]",0,,,,,,1,,,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Aging Out[1, 7]",0,,,,,,1,,,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 1]",0.5,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 2]",0.15,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 3]",0.06,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 4]",0.0225,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 5]",0.0125,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 6]",0,,,,,,,,1,,,,,,
"Solar energy.Initial Installed Renewable Energy Capacity[1, 7]",0,,,,,,,,1,,,,,,
"Solar energy.Initial Solar Energy Installation Costs[1]",4355.27725285347,100,100000,,,,,,,1,,,,,
"Solar energy.reference formation time[1]",10,5,20,,,,,,,1,,,,,
"Solar energy.reference share of cost for grid storage[1]",0.6,0,1,,,,,,,1,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[1]",0,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[2]",0.1,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[3]",0.111111111,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[4]",0.125,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[5]",0.285714286,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[6]",0.7,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Decay Fractions[7]",1,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Capacity Vintage Duration",5,,,,,,,,1,,,,,,
"Solar energy.Renewable Energy Floor Costs[1]",50.5482944559918,1,500,,,,,,,1,,,,,
"Solar energy.sensitivity of renewable floor costs to grid storage needs[1]",5.24737796667638,2,10,,,,,,,1,,,,,
"Solar energy.sensitivity of renewable floor costs to grid storage needs non linear part[1]",-5.19750102684353,-46,-3,,,,,,,1,,,,,
"Solar energy.Solar Energy Full Load Hours[1]",1693.28449634399,1200,1850,,,,,,,1,,,,,
"Solar energy.Solar Energy Learning Rate[1]",0.139,0.05,0.4,1,,,,,,1,,,,,
"Solar energy.stepping on toes parameter in renewable energy sector[1]",0.497651910391243,0.1,1,1,,,,,,1,,,,,
"Solar energy.time to perceive changes in construction[1]",1,0.25,5,1,,,,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 1]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 2]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 3]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 4]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 5]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 6]",0,,,,,,1,,,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Aging Out[1, 7]",0,,,,,,1,,,,,,,,
"Wind energy.Absolute historical wind speed 1981 to 2011",3.5,,,,,,,,1,,,,,,
"Wind energy.conversion factor between surface temperature anomaly and wind speed",0.058,,,,,,,,1,,,,,,
"Wind energy.duration intercept",0.01,,,,,,,,1,,,,,,
"Wind energy.duration slope",0.04,,,,,,,,1,,,,,,
"Wind energy.frequency intercept",0.05,,,,,,,,1,,,,,,
"Wind energy.frequency slope",-4.12567736176777e-34,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 1]",0.5,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 2]",0.15,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 3]",0.06,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 4]",0.0225,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 5]",0.0125,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 6]",0,,,,,,,,1,,,,,,
"Wind energy.Initial Installed Renewable Energy Capacity[1, 7]",0,,,,,,,,1,,,,,,
"Wind energy.Initial Wind Energy Full Load Hours[1]",1838.69962936481,1650,1850,,,,,,1,,,,,,
"Wind energy.Initial Wind Energy Installation Costs[1]",4539.5189445888,100,100000,,,,,,,1,,,,,
"Wind energy.reference formation time[1]",10,5,20,,,,,,,1,,,,,
"Wind energy.reference share of cost for grid storage[1]",0.6,0,1,,,,,,,1,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[1]",0,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[2]",0.1,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[3]",0.111111111,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[4]",0.125,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[5]",0.285714286,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[6]",0.7,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Decay Fractions[7]",1,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Capacity Vintage Duration",5,,,,,,,,1,,,,,,
"Wind energy.Renewable Energy Floor Costs[1]",12.1609429118296,1,500,,,,,,,1,,,,,
"Wind energy.sensitivity of renewable floor costs to grid storage needs[1]",4.98785416359998,2,10,,,,,,,1,,,,,
"Wind energy.sensitivity of renewable floor costs to grid storage needs non linear part[1]",-5.35052116529329,-46,-3,,,,,,,1,,,,,
"Wind energy.stepping on toes parameter in renewable energy sector[1]",0.5,0.1,1,1,,,,,,1,,,,,
"Wind energy.time to perceive changes in construction[1]",1,0.25,5,1,,,,,,,,,,,
"Wind energy.Wind Energy Learning Rate[1]",0.113320005451525,0.05,0.4,1,,,,,,1,,,,,
"Energy supply vs demand.Cumulative Energy Supply Missmatch[1]",0,,,,,,,,,,,,,,
"Energy supply vs demand.Cumulative Deviations of Energy Balance from 1[1]",0,,,,,,,,,,,,,,
"Energy Units.UNIT Bc$ to c$",1000000000,,,,,,,,,,,,,,1
"Energy Units.UNIT deg C to dmnl",1,,,,,,,,,,,,,,1
"Energy Units.UNIT GJ to MWh",0.277778,,,,,,,,,,,,,,1
"Energy Units.UNIT GJ to TWh",2.777777777778e-7,,,,,,,,,,,,,,1
"Energy Units.UNIT GW to TW",0.001,,,,,,,,,,,,,,1
"Energy Units.UNIT gWh to TWh",0.001,,,,,,,,,,,,,,1
"Energy Units.UNIT kW to GW",0.000001,,,1,,,,,,,,,,,1
"Energy Units.UNIT kW to TW",1e-9,,,,,,,,,,,,,,1
"Energy Units.UNIT MtCO2 to tCO2",1000000,,,,,,,,,,,,,,1
"Energy Units.UNIT Qbtu to zJ",0.001055056,,,,,,,,,,,,,,1
"Energy Units.UNIT TWh to kWh",1000000000,,,,,,,,,,,,,,1
"Energy Units.UNIT TWh to MWh",1000000,,,,,,,,,,,,,,1
"Energy Units.UNIT zJ to TWh",277777.7778,,,1,,,,,,,,,,,1
"Government Regulations.biofuels CO2e emissions tax reduction share",0,,,,,,,,,,,,,1,
"Government Regulations.biofuels SO2 emissions tax reduction share",0,,,,,,,,,,,,,1,
"Government Regulations.calibration period government debt to GDP ratio target[1]",1.2,1,1.5,1,,,,,,,,,,,
"Government Regulations.central bank led investment policy start year",2175,,,,,,,,,,,,,1,
"Government Regulations.debt to gdp level start year",2025,2025,2100,,,,,,,,,,,1,
"Government Regulations.decision fraction of default covered by central bank insurance",0,0,1,,,,,,,,,,,1,
"Government Regulations.decision fraction of default covered by government insurance",0,0,1,,,,,,,,,,,1,
"Government Regulations.decision fraction of default covered by private insurance",0,0,1,,,,,,,,,,,1,
"Government Regulations.fraction of public investments financed by taxation",0.8,0,1,,,,,,,,,,,1,
"Government Regulations.government debt to GDP ratio target",1.2,0.5,2,,,,,,,,,,,1,
"Government Regulations.government run investment policy start year",2175,,,,,,,,,,,,,1,
"Government Regulations.growth rate target for government public investments",0.04,0,0.1,,,,,,,,,,,1,
"Government Regulations.historical inflation goal[1]",0.02,0.01,0.04,1,,,,,,,,,,,
"Government Regulations.historical unemployment goal[1]",0.05,0.02,0.08,1,,,,,,,,,,,
"Government Regulations.inflation goal policy",0.02,0,0.1,,,,,,,,,,,1,
"Government Regulations.insurance coverage level",70,0,100,,,,,,,,,,,1,
"Government Regulations.insurance coverage start year",2030,,,,,,,,,,,,,1,
"Government Regulations.insurance coverage time to implement",1,,,,,,,,,,,,,1,
"Government Regulations.max change per year in inflation",0.001,0.0001,0.02,,,,,,,,,,,1,
"Government Regulations.max change per year in unemployment",0.001,0.0001,0.02,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Bio Energy Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Coal Energy Conversion Capital",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Coal Extraction Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Gas Energy Conversion Capital",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Gas Extraction Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Hydro Energy Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Nuclear Energy Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Oil Energy Conversion Capital",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Oil Extraction Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Solar Energy Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Max Share of GDP expended for Wind Energy Subsidies",0.01,0.00001,0.1,,,,,,,,,,,1,
"Government Regulations.Maximum investment into CCS as share of private investment",0.1,0,0.2,,,,,,,,1,,,1,
"Government Regulations.minimum percentage of taxes spent by government",0.9,0.5,1,,,,,,,,,,,1,
"Government Regulations.Moratorium on fossil energy year",2150,2070,2150,,,,,,,,,,,1,
"Government Regulations.No SLR adaptation strategy",1,,,,,,,,,,,,,1,
"Government Regulations.profit tax policy",0.327,0,1,,,,,,,,,,,1,
"Government Regulations.profit tax policy start year",2025,2025,2100,,,,,,,,,,,1,
"Government Regulations.Protection as SLR adaptation strategy",0,,,,,,,,,,,,,1,
"Government Regulations.Retreat as SLR adaptation strategy",0,,,,,,,,,,,,,1,
"Government Regulations.share of public investments financed by profit taxation",0.25,0,1,,,,,,,,,,,1,
"Government Regulations.share of public investments financed by rent taxation",0.25,0,1,,,,,,,,,,,1,
"Government Regulations.share of public investments financed by wage taxation",0.25,0,1,,,,,,,,,,,1,
"Government Regulations.share of public investments financed by wealth taxation",0.25,0,1,,,,,,,,,,,1,
"Government Regulations.SLR adaptation start year",2025,2025,2100,,,,,,,,,,,1,
"Government Regulations.start year",2025,,,,,,,,,,,,,1,
"Government Regulations.switch animal product efficiency policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.switch irrigation fraction policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.switch non agricultural water use policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.switch profit tax policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.switch sustainable farming policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.switch wage tax policy",0,0,1,,,,,,,,,,,1,
"Government Regulations.time for government to change the debt to GDP ratio target",10,5,50,,,,,,,,,,,1,
"Government Regulations.time to implement profit tax policy",5,5,75,,,,,,,,,,,1,
"Government Regulations.time to implement wage tax policy",5,5,75,,,,,,,,,,,1,
"Government Regulations.time to implement wealth tax policy",5,5,75,,,,,,,,,,,1,
"Government Regulations.time to start central bank inflation policy",2025,2025,2075,,,,,,,,,,,1,
"Government Regulations.time to start central bank unemployment policy",2025,2025,2075,,,,,,,,,,,1,
"Government Regulations.unemployment goal policy",0.05,0,0.15,,,,,,,,,,,1,
"Government Regulations.wage tax policy",0.218,0.05,0.5,,,,,,,,,,,1,
"Government Regulations.wage tax policy start year",2025,2025,2100,,,,,,,,,,,1,
"Government Regulations.wealth tax policy",0,0,0.02,,,,,,,,,,,1,
"Government Regulations.wealth tax policy start year",2025,2025,2100,,,,,,,,,,,1,
"Land Use and Agriculture.Albedo cropland",0.22,,,,,,,,1,,1,,,,
"Land Use and Agriculture.Albedo forest land",0.15,,,,,,,,1,,1,,,,
"Land Use and Agriculture.Albedo grassland",0.21,,,,,,,,1,,1,,,,
"Animal Products.Animal Products Yield in 1980[1]",1.06555884568422,0.6,1.6,,,,,,,1,,,,,
"Animal Products.aquatic animal product share 1980[1]",0.0609999916851298,0.059,0.061,,,,,,,1,,,,,
"Animal Products.average animal product growth efficiency[1]",0.136407732903247,0.01,0.25,,,,,,,1,,,,,
"Animal Products.averaging time[1]",4.72256758346562,2,8,1,,,,,,,,,,,
"Animal Products.desired animal products reserve capacity[1]",0.0528482871878681,0,0.1,,,,,,,1,,,,,
"Animal Products.elasticity of aquatic animal product share to GDP per person[1]",0.397037208547629,0,1,,,,,,,1,,,,,
"Animal Products.maximum effective animal products balance",2,,,1,,,,,,,1,,,,
"Animal Products.normal rate of change in grazing land yield[1]",0.050407404307398,0.0001,0.1,,,,,,,1,,,,,
"Animal Products.sensitivity of rate of change in animal products balance to growth rate in yield[1]",-73.3463641965203,-100,0,,,,,,,1,,,,,
"Animal Products.tolerance of maximum effective animal products balance",0.1,,,1,,,,,,,1,,,,
"Biosphere Indicators.Atmospheric CO2 concentration Boundary value",350,,,,,,,,,,1,,,,
"Biosphere Indicators.Atmospheric CO2 concentration High risk boundary value",450,,,,,,,,,,1,,,,
"Biosphere Indicators.Atmospheric CO2 concentration Holocene value",280,,,,,,,,,,1,,,,
"Biosphere Indicators.Cropland actual NPP per unit area 2000",397,,,,,,,,,,1,,,,
"Biosphere Indicators.Cropland net primary production 2000-2020",5.25,4.79,5.71,,,,,,,,1,,,,
"Biosphere Indicators.Cropland NPP harvested or destroyed per unit area 2000",296,,,,,,,,,,1,,,,
"Biosphere Indicators.Fraction forest removed Boundary value",25,,,,,,,,,,1,,,,
"Biosphere Indicators.Fraction forest removed High risk boundary value",46,,,,,,,,,,1,,,,
"Biosphere Indicators.Fraction forest removed Holocene value",0,,,,,,,,,,1,,,,
"Biosphere Indicators.Grazing land actual NPP per unit area 2000",433,,,,,,,,,,1,,,,
"Biosphere Indicators.Grazing land NPP harvested or destroyed per unit area 2000",41,,,,,,,,,,1,,,,
"Biosphere Indicators.HANPP as fraction of Holocene net primary production Boundary value",10,,,,,,,,,,1,,,,
"Biosphere Indicators.HANPP as fraction of Holocene net primary production High risk boundary value",20,,,,,,,,,,1,,,,
"Biosphere Indicators.HANPP as fraction of Holocene net primary production Holocene value",1.9,,,,,,,,,,1,,,,
"Biosphere Indicators.Holocene forested area",6387,,,,,,,,,,1,,,,
"Biosphere Indicators.Holocene net primary production",55.9,,,,,,,,,,1,,,,
"Biosphere Indicators.Intended biological nitrogen fixation 2000-2020",50,30,70,,,,,,,,1,,,,
"Biosphere Indicators.Intentionally fixed N applied to the agricultural system Boundary value",62,,,,,,,,,,1,,,,
"Biosphere Indicators.Intentionally fixed N applied to the agricultural system High risk boundary value",82,,,,,,,,,,1,,,,
"Biosphere Indicators.Intentionally fixed N applied to the agricultural system Holocene value",0,,,,,,,,,,1,,,,
"Biosphere Indicators.Maximum amount of consumptive blue water use Boundary value",4000,,,,,,,,,,1,,,,
"Biosphere Indicators.Maximum amount of consumptive blue water use High risk boundary value",6000,,,,,,,,,,1,,,,
"Biosphere Indicators.Maximum amount of consumptive blue water use Holocene value",415,,,,,,,,,,1,,,,
"Biosphere Indicators.P flow from fertilizers to erodible soils Boundary value",6.2,,,,,,,,,,1,,,,
"Biosphere Indicators.P flow from fertilizers to erodible soils High risk boundary value",11.2,,,,,,,,,,1,,,,
"Biosphere Indicators.P flow from fertilizers to erodible soils Holocene value",0,,,,,,,,,,1,,,,
"Biosphere Indicators.Ratio N:P in man made fertilizer 2000",8.6,8.6,8.6,,,,,,,,1,,,,
"Biosphere Indicators.Total actual NPP 2000",59.22,,,,,,,,,,1,,,,
"Biosphere Indicators.Total anthropogenic radiative forcing at top of atmosphere Boundary value",1,,,,,,,,,,1,,,,
"Biosphere Indicators.Total anthropogenic radiative forcing at top of atmosphere High risk boundary value",1.5,,,,,,,,,,1,,,,
"Biosphere Indicators.Total anthropogenic radiative forcing at top of atmosphere Holocene value",0,,,,,,,,,,1,,,,
"Biosphere Indicators.Total blue water extraction 2000-2020",3740,3480,4000,,,,,,,,1,,,,
"Biosphere Indicators.Total consumptive blue water use 2000-2020",2215.5,1831,2600,,,,,,,,1,,,,
"Biosphere Indicators.Total NPP consumed by human-induced fires 2000",1.14,,,,,,,,,,1,,,,
"Biosphere Indicators.UNIT km3 to m3",1e-9,,,,,,,,,,,,,,1
"Biosphere Indicators.UNIT Percent to decimal",100,,,,,,,,,,,,,,1
"Crop.Amount of time burned cropland is out of service",1,,,,,,,,,,1,,,,
"Crop.conventional residue on field fraction[1]",0.335833089895078,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[2]",0.432224904511662,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[3]",0.33806041332494,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[4]",0.319022483183197,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[5]",0.379626598701345,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[6]",0.307806621974689,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[7]",0.369070969247771,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[8]",0.33806041332494,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[9]",0.329248429116354,,,,,,,,1,,1,,,,
"Crop.conventional residue on field fraction[10]",0.445481473890795,,,,,,,,1,,1,,,,
